date,username,time,task,computer,stimfile
05/02/2023,gru,02-May-2023 16:50:50,textAtt.m,oban.stanford.edu,~/data/textAtt/s800/230502_stim03.mat
05/02/2023,gru,02-May-2023 16:54:36,textAtt.m,oban.stanford.edu,~/data/textAtt/s800/230502_stim04.mat
05/02/2023,gru,02-May-2023 16:58:24,textAtt.m,oban.stanford.edu,~/data/textAtt/s800/230502_stim05.mat
05/02/2023,gru,02-May-2023 17:02:47,textAtt.m,oban.stanford.edu,~/data/textAtt/s800/230502_stim06.mat
05/02/2023,gru,02-May-2023 17:06:39,textAtt.m,oban.stanford.edu,~/data/textAtt/s800/230502_stim07.mat
05/02/2023,gru,02-May-2023 17:16:34,textAtt.m,oban.stanford.edu,~/data/textAtt/s800/230502_stim09.mat
05/02/2023,gru,02-May-2023 17:20:31,textAtt.m,oban.stanford.edu,~/data/textAtt/s800/230502_stim10.mat
05/02/2023,gru,02-May-2023 17:25:43,textAtt.m,oban.stanford.edu,~/data/textAtt/s800/230502_stim11.mat
05/02/2023,gru,02-May-2023 17:30:00,textAtt.m,oban.stanford.edu,~/data/textAtt/s800/230502_stim12.mat
05/02/2023,gru,02-May-2023 17:33:55,textAtt.m,oban.stanford.edu,~/data/textAtt/s800/230502_stim13.mat
