date,username,time,task,computer,stimfile
05/02/2023,gru,02-May-2023 18:12:03,dotAttWM.m,oban.stanford.edu,~/data/dotAttWM/s803/230502_stim01.mat
05/02/2023,gru,02-May-2023 18:17:10,dotAttWM.m,oban.stanford.edu,~/data/dotAttWM/s803/230502_stim02.mat
05/02/2023,gru,02-May-2023 18:22:39,dotAttWM.m,oban.stanford.edu,~/data/dotAttWM/s803/230502_stim03.mat
05/02/2023,gru,02-May-2023 18:27:48,dotAttWM.m,oban.stanford.edu,~/data/dotAttWM/s803/230502_stim04.mat
05/02/2023,gru,02-May-2023 18:29:44,dotAttWM.m,oban.stanford.edu,~/data/dotAttWM/s803/230502_stim05.mat
05/02/2023,gru,02-May-2023 18:34:58,dotAttWM.m,oban.stanford.edu,~/data/dotAttWM/s803/230502_stim06.mat
05/02/2023,gru,02-May-2023 18:40:09,dotAttWM.m,oban.stanford.edu,~/data/dotAttWM/s803/230502_stim07.mat
05/02/2023,gru,02-May-2023 18:45:33,dotAttWM.m,oban.stanford.edu,~/data/dotAttWM/s803/230502_stim08.mat
05/02/2023,gru,02-May-2023 18:50:33,dotAttWM.m,oban.stanford.edu,~/data/dotAttWM/s803/230502_stim09.mat
05/02/2023,gru,02-May-2023 18:55:25,dotAttWM.m,oban.stanford.edu,~/data/dotAttWM/s803/230502_stim10.mat
