date,username,time,task,computer,stimfile
11/21/2019,gru,21-Nov-2019 17:16:35,alaisburr.m,dubonnet.stanford.edu,~/data/alaisburr/s600/191121_stim01.mat
08/25/2020,gru,25-Aug-2020 15:35:20,estimation.m,dubonnet.stanford.edu,~/data/estimation/s600/200825_stim08.mat
09/02/2020,gru,02-Sep-2020 11:37:17,estimation.m,dubonnet.stanford.edu,~/data/estimation/s600/200902_stim09.mat
09/02/2020,gru,02-Sep-2020 11:40:55,estimation.m,dubonnet.stanford.edu,~/data/estimation/s600/200902_stim10.mat
09/02/2020,,02-Sep-2020 11:44:51,estimation.m,dubonnet.stanford.edu,~/data/estimation/s600/200902_stim11.mat
09/02/2020,gru,02-Sep-2020 12:04:07,estimation.m,dubonnet.stanford.edu,~/data/estimation/s600/200902_stim12.mat
09/02/2020,,02-Sep-2020 13:16:13,estimation.m,dubonnet.stanford.edu,~/data/estimation/s600/200902_stim13.mat
09/02/2020,gru,02-Sep-2020 13:53:45,estimation.m,dubonnet.stanford.edu,~/data/estimation/s600/200902_stim14.mat
09/03/2020,,03-Sep-2020 11:18:58,estimation.m,dubonnet.stanford.edu,~/data/estimation/s600/200903_stim15.mat
09/03/2020,gru,03-Sep-2020 11:44:06,estimation.m,dubonnet.stanford.edu,~/data/estimation/s600/200903_stim16.mat
